




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (943)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
nervous system process (GO:0050877)	1416	29	64.84	-	.45	7.09E-07	2.55E-04
detection of stimulus (GO:0051606)	721	10	33.01	-	.30	5.30E-06	1.27E-03
sensory perception (GO:0007600)	979	13	44.83	-	.29	4.43E-08	2.91E-05
G protein-coupled receptor signaling pathway (GO:0007186)	1305	13	59.75	-	.22	3.43E-13	2.71E-09
detection of stimulus involved in sensory perception (GO:0050906)	557	4	25.50	-	.16	3.35E-07	1.47E-04
detection of chemical stimulus (GO:0009593)	522	1	23.90	-	.04	3.11E-09	2.73E-06
sensory perception of chemical stimulus (GO:0007606)	543	1	24.86	-	.04	8.96E-10	1.01E-06
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	20.19	-	 < 0.01	4.49E-09	3.73E-06
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	22.25	-	 < 0.01	6.26E-10	7.62E-07
sensory perception of smell (GO:0007608)	468	0	21.43	-	 < 0.01	1.38E-09	1.45E-06
